JobID,JobFlowID,InstanceCount,MapTaskCount,JobCounter,RawCopyIn,Demux,HadoopJob,Merge,RawCopyOut,Job,JobRun
bf1167b4-669a-48d7-8c70-5b0deac99ed,j-1ZDP0I0O52573,4,8,3,27,27,348,15,42,462,0
bf1167b4-669a-48d7-8c70-5b0deac99ed,j-1ZDP0I0O52573,4,8,4,52,47,296,15,35,448,0
55766a17-2e20-4b85-9187-aa319075baf,j-1ZDP0I0O52573,6,8,0,0,0,0,0,0,0,0
55766a17-2e20-4b85-9187-aa319075baf,j-1ZDP0I0O52573,6,8,1,8,10,258,4,14,296,0
55766a17-2e20-4b85-9187-aa319075baf,j-1ZDP0I0O52573,6,8,2,10,11,321,7,25,376,0
55766a17-2e20-4b85-9187-aa319075baf,j-1ZDP0I0O52573,6,8,3,26,26,348,15,40,458,0
55766a17-2e20-4b85-9187-aa319075baf,j-1ZDP0I0O52573,6,8,4,49,41,237,14,37,381,0
e9fb14f6-916f-447c-a774-27d2b3f024c,j-1ZDP0I0O52573,8,8,0,0,0,0,0,0,0,0
e9fb14f6-916f-447c-a774-27d2b3f024c,j-1ZDP0I0O52573,8,8,1,9,10,258,4,15,298,0
e9fb14f6-916f-447c-a774-27d2b3f024c,j-1ZDP0I0O52573,8,8,2,13,11,312,7,25,370,0
e9fb14f6-916f-447c-a774-27d2b3f024c,j-1ZDP0I0O52573,8,8,3,27,27,342,15,41,454,0
e9fb14f6-916f-447c-a774-27d2b3f024c,j-1ZDP0I0O52573,8,8,4,53,42,230,14,38,381,0
