JobID,JobFlowID,InstanceCount,MapTaskCount,JobCounter,RawCopyIn,Demux,HadoopJob,Merge,RawCopyOut,Job,JobRun
1afb0525-4589-4846-9a2c-d2dcc0eed44,j-1ASLUR6MJN9YB,2,4,0,0,0,0,0,0,0,0
1afb0525-4589-4846-9a2c-d2dcc0eed44,j-1ASLUR6MJN9YB,2,4,1,203,226,2129,71,80,2712,0
1afb0525-4589-4846-9a2c-d2dcc0eed44,j-1ASLUR6MJN9YB,2,4,2,222,227,2134,92,88,2766,0
1afb0525-4589-4846-9a2c-d2dcc0eed44,j-1ASLUR6MJN9YB,2,4,3,215,259,2289,144,93,3002,0
1afb0525-4589-4846-9a2c-d2dcc0eed44,j-1ASLUR6MJN9YB,2,4,4,218,897,2707,0,0,0,0
