JobID,JobFlowID,InstanceCount,MapTaskCount,JobCounter,BlockSize,FileSize,RawCopyIn,Demux,ProcessJob,Merge,RawCopyOut,Job,JobRun
0ba88b4f-d30b-4260-990f-fddf995b103,j-2O13LK5W8LUAA,9,4,0,-1,-1,0,0,0,0,0,0,0
0ba88b4f-d30b-4260-990f-fddf995b103,j-2O13LK5W8LUAA,9,4,1,4194304,4640417,0,1,59,0,2,64,0
0ba88b4f-d30b-4260-990f-fddf995b103,j-2O13LK5W8LUAA,9,4,2,8388608,183374462,6,9,75,4,10,106,0
0ba88b4f-d30b-4260-990f-fddf995b103,j-2O13LK5W8LUAA,9,4,3,8388608,237292012,10,10,103,6,15,145,0
0ba88b4f-d30b-4260-990f-fddf995b103,j-2O13LK5W8LUAA,9,4,4,8388608,364935418,13,14,131,10,25,195,0
0ba88b4f-d30b-4260-990f-fddf995b103,j-2O13LK5W8LUAA,9,4,5,8388608,797857853,28,36,147,21,42,275,0
0ba88b4f-d30b-4260-990f-fddf995b103,j-2O13LK5W8LUAA,9,4,6,16777216,1540035256,56,53,159,17,41,329,0
0ba88b4f-d30b-4260-990f-fddf995b103,j-2O13LK5W8LUAA,9,4,7,16777216,6321118503,213,225,565,87,57,1151,0
0ba88b4f-d30b-4260-990f-fddf995b103,j-2O13LK5W8LUAA,9,4,8,25165824,10514761914,359,337,1850,309,230,3089,0
6ad787f8-416e-4a63-b73c-62f3e4a8d34,j-2O13LK5W8LUAA,10,4,0,-1,-1,0,0,0,0,0,0,0
6ad787f8-416e-4a63-b73c-62f3e4a8d34,j-2O13LK5W8LUAA,10,4,1,4194304,4640417,0,0,51,0,2,56,0
6ad787f8-416e-4a63-b73c-62f3e4a8d34,j-2O13LK5W8LUAA,10,4,2,8388608,183374462,5,8,74,4,12,105,0
6ad787f8-416e-4a63-b73c-62f3e4a8d34,j-2O13LK5W8LUAA,10,4,3,8388608,237292012,7,10,95,6,15,136,0
6ad787f8-416e-4a63-b73c-62f3e4a8d34,j-2O13LK5W8LUAA,10,4,4,8388608,364935418,12,15,109,10,27,175,0
6ad787f8-416e-4a63-b73c-62f3e4a8d34,j-2O13LK5W8LUAA,10,4,5,8388608,797857853,27,37,143,22,43,274,0
6ad787f8-416e-4a63-b73c-62f3e4a8d34,j-2O13LK5W8LUAA,10,4,6,16777216,1540035256,55,52,155,18,44,326,0
6ad787f8-416e-4a63-b73c-62f3e4a8d34,j-2O13LK5W8LUAA,10,4,7,16777216,6321118503,230,212,521,88,59,1114,0
6ad787f8-416e-4a63-b73c-62f3e4a8d34,j-2O13LK5W8LUAA,10,4,8,25165824,10514761914,394,335,1703,312,270,3017,0
6fb7b977-34b8-4cb5-8c5c-cff6ad756e6,j-2O13LK5W8LUAA,11,4,0,-1,-1,0,0,0,0,0,0,0
6fb7b977-34b8-4cb5-8c5c-cff6ad756e6,j-2O13LK5W8LUAA,11,4,1,4194304,4640417,0,0,51,0,2,56,0
6fb7b977-34b8-4cb5-8c5c-cff6ad756e6,j-2O13LK5W8LUAA,11,4,2,8388608,183374462,6,8,73,4,12,105,0
6fb7b977-34b8-4cb5-8c5c-cff6ad756e6,j-2O13LK5W8LUAA,11,4,3,8388608,237292012,8,10,96,6,17,139,0
6fb7b977-34b8-4cb5-8c5c-cff6ad756e6,j-2O13LK5W8LUAA,11,4,4,8388608,364935418,13,14,107,11,24,172,0
6fb7b977-34b8-4cb5-8c5c-cff6ad756e6,j-2O13LK5W8LUAA,11,4,5,8388608,797857853,29,35,134,21,45,265,0
6fb7b977-34b8-4cb5-8c5c-cff6ad756e6,j-2O13LK5W8LUAA,11,4,6,16777216,1540035256,54,52,146,18,40,313,0
6fb7b977-34b8-4cb5-8c5c-cff6ad756e6,j-2O13LK5W8LUAA,11,4,7,16777216,6321118503,216,211,483,87,67,1069,0
6fb7b977-34b8-4cb5-8c5c-cff6ad756e6,j-2O13LK5W8LUAA,11,4,8,25165824,10514761914,345,335,1543,308,234,2768,0
49150a20-b8be-4af1-b1c9-20ead91c0a9,j-2O13LK5W8LUAA,12,4,0,-1,-1,0,0,0,0,0,0,0
49150a20-b8be-4af1-b1c9-20ead91c0a9,j-2O13LK5W8LUAA,12,4,1,4194304,4640417,0,1,48,0,2,53,0
