JobID,JobFlowID,InstanceCount,MapTaskCount,JobCounter,BlockSize,FileSize,RawCopyIn,Demux,ProcessJob,Merge,RawCopyOut,Job,JobRun
6055d7cc-1315-4c01-92d1-ea83df710b8,j-19WOUSWNMFAK8,4,4,0,-1,-1,0,0,0,0,0,0,0
6055d7cc-1315-4c01-92d1-ea83df710b8,j-19WOUSWNMFAK8,4,4,1,25165824,10514761914,389,331,4075,326,304,5430,0
df8ec38c-f8d0-40d8-9914-9f660e8c212,j-19WOUSWNMFAK8,7,4,0,-1,-1,0,0,0,0,0,0,0
df8ec38c-f8d0-40d8-9914-9f660e8c212,j-19WOUSWNMFAK8,7,4,1,25165824,10514761914,373,328,2408,339,269,3722,0
2cbeda1d-bd01-4dcc-8cbe-74fb2f66d4b,j-19WOUSWNMFAK8,10,4,0,-1,-1,0,0,0,0,0,0,0
2cbeda1d-bd01-4dcc-8cbe-74fb2f66d4b,j-19WOUSWNMFAK8,10,4,1,25165824,10514761914,375,334,1698,331,265,3006,0
