JobID,JobFlowID,InstanceCount,MapTaskCount,JobCounter,BlockSize,FileSize,RawCopyIn,Demux,ProcessJob,Merge,RawCopyOut,Job,JobRun
553c70dd-c771-4675-a05e-a92ca962cdc,j-2MTO28LMHN01F,0,4,0,-1,-1,0,0,0,0,0,0,0
553c70dd-c771-4675-a05e-a92ca962cdc,j-2MTO28LMHN01F,0,4,1,16777216,4640417,0,0,10,0,2,13,0
553c70dd-c771-4675-a05e-a92ca962cdc,j-2MTO28LMHN01F,0,4,2,16777216,183374462,6,0,186,0,11,204,0
553c70dd-c771-4675-a05e-a92ca962cdc,j-2MTO28LMHN01F,0,4,3,16777216,237292012,7,0,334,0,16,359,0
553c70dd-c771-4675-a05e-a92ca962cdc,j-2MTO28LMHN01F,0,4,4,16777216,364935418,11,0,557,0,27,596,0
553c70dd-c771-4675-a05e-a92ca962cdc,j-2MTO28LMHN01F,0,4,5,16777216,797857853,27,0,987,0,41,1056,0
553c70dd-c771-4675-a05e-a92ca962cdc,j-2MTO28LMHN01F,0,4,6,16777216,1540035256,53,0,837,0,38,930,0
553c70dd-c771-4675-a05e-a92ca962cdc,j-2MTO28LMHN01F,0,4,7,16777216,6321118503,210,0,4046,0,81,4338,0
553c70dd-c771-4675-a05e-a92ca962cdc,j-2MTO28LMHN01F,0,4,8,16777216,10517484504,367,0,0,0,0,0,0
